id,name
aohs75l7e949y8lxxwoa44agb,Sligo Rovers
alcqlgraa5a5t57uee3wgy2kd,Galway United
1bb2bbjq1gdsq3qqlh3c6rxs7,St. Patrick's Athletic
51xekmm31jztuvdliya7idg5d,Shamrock Rovers
1du12fqlr6kjdnrkrao4diwt1,Waterford
fd8o1pvys32969sd8d46sycp,Drogheda United
436hohrrikc4zq7qgoquszrfq,Dundalk
90mig1t9vpe2a8ckksz0oo29g,Derry City
7e5odtzvbyx4ubpzwyphao0sv,Shelbourne
7qeeszxk0dy7hdvml7julotl,Bohemians
1csft77zeexrhddgjoxuht7v8,Auckland
cuj4qahgk4idsme4dg8clk6gw,Perth Glory
7p460lrzt1kmp4rsofqa47eqy,Western United
chu9blh367xs3yumct5tqto2q,Newcastle Jets
c4ygb6mnh53kpl2mpxe52l8jw,Central Coast
v046no35g7ebk8lytdjmfb43,Brisbane Roar
6lezh5aazy0xca1800e5dqxwl,Adelaide
38ui5tfi8anjuh533emny2tz1,Sydney
6h553bwfqkoxayuv80uikkn42,Western Sydney Wanderers
6j4xzc2g1eeafo6v1f38d4x22,Wellington Phoenix
9xmhnv6im8h7c9e17oqvcx8gl,Melbourne Victory
7jv344gvcvgqg7oeuc9u554dm,Macarthur
c33jm806py6adse5wv9wx6ch1,Melbourne City
buyj9j0qwgbvx3v8wzikpjyzu,Cerro Portemo
9sb2d5sawemtwwxx7h5elruy2,Sportivo Amel.
an573q9co58ebwecdvo8w3osc,Sol de America
c42bnpk0mz0j3nyf2zoo992ks,2 de Mayo
adqf8l3v3x2moj3bbkgyyu2ju,Caballero JLM
bzqac8o28oic0dl0rka53rm89,Luqueno
ajjzd6ex2rqp70mwh5by9wdfb,Olimpia
8j13r6l93c46v57ekr68obhoz,Guarani
3xfyojm7d8q9t73299jen1r4e,Tacuary 
3n0uz5141jkl4wazgk0h5oh85,Nacional
bdk88cxg2peyftqv4p47o97ya,Trinidense
984ibdjplnlwb36kt6wbgwe97,Libertad
erwnez7ksfkns4dqmyr1fhbe,Atlanta United 2
d0c07im4a6oj8qa7f1zlt3pqs,Austin FC 2
2nnef9tr9g7m2s6n873qif95g,Carolina Core
cwnjxlibb02fuh0vwgvac6h45,Chattanooga FC
8o8m08he36u0j4w08aj2iodn8,Chicago Fire 2
c7c4wwva2u1vb3rr7rwava044,Inter Miami 2
iiolvosiuokkrl5iuoxcjo4p,Colorado Rapids 2
5b4ccd62yeeqdl2qk6jzsmjv8,Columbus Crew 2
6ubc4y1v6hr63mca7ica4hp90,Crown Legacy
bd0378yx50xpdcgwkt9p9bmz8,FC Cincinnati 2
7pmw399vh2v44cjle4fkklp1w,Houston Dynamo 2
4gymgvqmve0m2vh89v84tt3x0,Huntsville City
6gaq85erpkvbyxvivd96wuw44,LAFC 2
1pc6sx2h4rp113ldkbp5d2xas,Minnesota United 2
csntc7hucmo21gknxc5y0kc4q,New England Revolution 2
6ddsx316t3j0z6nolrky9k4r8,New York City 2
4g68p0t2f5jzhzfr67i2rj1ex,New York Red Bulls 2
99l7fsj6ykgbyqcb9zqqu9dgq,North Texas
479lsfr4cwlzewpbuda3y2xv4,Orlando City 2
1zgjjyruyufrkh4xjvryqsb1i,Philadelphia Union 2
5ou8b446l1sl8frblkz3xi17g,Portland Timbers 2
cbip96wzs3jc2xadoluhhxotl,Real Monarchs
7fbej4xwoq4imaf5l39304m37,Sporting Kansas 2
dqx48fglv1l96cyrmjdod0xec,St Louis City 2
5icuo8utnztpsd9l03gdd68dl,Tacoma Defiance
ew2zirzye0sw1txr2m33nr25y,The Town
29nx7yxy1rdqv2oobqn5pjf8p,Toronto 2
eo64tqkioegeb09iice2hf8bt,Vancouver Whitecaps 2
8ijkk62897so5r3bq0wgwx4bu,Ventura County
7ruua9q5rtswwi5d6xtquuto5,AEK Athens
90z9l1k46z46ep9oupipgganh,Aris Thessaloniki
c53eublb5ds9v1rlscm8x39pq,Asteras Tripolis
1j8ifp7frhzci6o6kvnl1glif,Levadiakos
dr4emys1xpm2h54oid0q5y2nx,Ofi FC
9ghx7vbghs3628n5chm9r8ig3,Olympiacos
4gex5os8jassavy6lopipbcz3,Atromitos Athens
6k2e9m32yn23o0fn4kzg9jemf,Athens Kallithea
deazflnflqmejndo05gviznzd,PAOK Thessaloniki
8f2ud0np10grf6a1ke620ma4s,Lamia
dozhxtpww3paixmvttljtduge,Panaitolikos Agrinio
4ws3k9155net1ydbvr8c940dy,Panathinaikos
8cxrfo5i448oo8yq25wnr8kul,Panserraikos
937i26v5naqzhwxcelwtgou3u,Volos
8vht8t1pm8z9gkkeuzxtkfatn,Kifisias
3e1v5aemi3afarlqm4raxf7fc,AE Larissa
12tyw9yomy9n5cjd5po2ajx1q,Albirex Niigata
ydlnn8jofdkseegh42az3fpt,Avispa Fukuoka
90cc40yau7yv6n8r4xs361ofd,Cerezo Osaka
c893rjzz7makmez86fze25a2e,FC Machida Zelvia
e90fnsgtnamze3yssxpg392eb,FC Tokyo
4rddupwnkxxcwou6iluymj29j,Fagiano Okayama
92br3632xgmc25jvr0jesfvl6,Gamba Osaka
1f3ehp8p9yi8reamghry4p76t,Hokkaido Consadole Sapporo
4hm0p4fs807r60m5cumrdn6w5,Jubilo Iwata
9s2g5k3dlmfii452t8edaeozh,Kashima Antlers
3lyo0vqgndy4fuzlfo5l9ql30,Kashiwa Reysol
5pol481515zvirmk6t00kerbc,Kawasaki Frontale
6bus1cl4b6zdm93290r02o7cx,Kyoto Sanga FC
18c8ibslzapz40lfb8y5vygcs,Nagoya Grampus
27o8mdqno6jslcjb709sxjwyy,Sagan Tosu
89wr6p2dkh7wjxtbwhtsruu02,Sanfrecce Hiroshima
a1escgblmveduau3j1st0lbxn,Shimuzu S-Pulse
83d6z6wvkzs3dx9oy3mftixow,Shonan Bellmare
6u7ltoz339il087ubf6rdtc2v,Tokyo Verdy
3vfso415vj7uitnunviuzdyg3,Urawa Red Diamonds
bbt5nqwufsne7r0zfa6pvpmfa,Vissel Kobe
2cwez3hk2i75ope3qyu54cqh1,Yokohama F. Marinos
ctm9as17rs95yhuz7qf53wfke,Yokohama FC
1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth
4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
b496gs285it6bheuikox6z9mj,Aston Villa
7yx5dqhhphyvfisohikodajhv,Brentford
e5p0ehyguld7egzhiedpdnc3w,Brighton & Hove Albion
9q0arba2kbnywth8bkxlhgmdr,Chelsea
1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
ehd2iemqmschhj2ec0vayztzz,Everton
hzqh7z0mdl3v7gwete66syxp,Fulham
8b523ujgl21tbc01me65q0aoh,Ipswich Town
avxknfz4f6ob0rv9dbnxdzde0,Leicester City
c8h9bw1l82s06h77xxrelzhur,Liverpool
a3nyxabgsqlnqfkeg41m6tnpp,Manchester City
6eqit8ye8aomdsrrq0hk3v7gh,Manchester United
7vn2i2kd35zuetw6b38gw9jsz,Newcastle United
1qtaiy11gswx327s0vkibf70n,Nottingham Forest
d5ydtvt96bv7fq04yqm2w2632,Southampton
22doj4sgsocqpxw45h607udje,Tottenham Hotspur
4txjdaqveermfryvbfrr4taf7,West Ham United
b9si1jn1lfxfund69e9ogcu2n,Wolverhampton Wanderers
6lzy9iiqoysvtdsgx719fng9n,Ajax II
1wyg1tunyt7go9tnjea1hjqxb,Alkmaar II
xcevba75jfkrg4s6tl89zl3y,De Graafschap
eh54mfvjtrttgsg1wbjnvxcqz,FC Den Bosch
z9phg19papi9f5fd6qxzr836,FC Dordrecht
dvmw7d6jb38qvv7e6ziwu0vyr,FC Eindhoven
3t0vjqtxc8wpjzv82i3oi2ova,FC Emmen
ch82doz9w9t1sw9ae3a4ffh0j,Utrecht II
6g9qrm72224jrk6tkxxxi8a9n,FC Volendam
e8hiwrw6ocxm5iht6sp7jiv19,Ado Den Haag
b94pf87be9ojdgnrs5mst80un,Helmond Sport
bqm1bnp1bh2apyudlz1o1whr3,MVV
2xlnfgrl6r18ftv38unwp7h4s,PSV II
dqk062lu0vm8epvytbm6r4mmf,Excelsior
6hsriqr3ybvyg94w2k19oal50,Vitesse
ears40cp6opsgvhsy0dgyszpd,Cambuur
zjawy6qdzk3y69v5pa3zl2cb,Telstar
7rmv5ns2rj7bn4otpkur0mx0x,Roda JC
dnzj0iv5qtaemm9kthh9pos8q,Top Oss
cv5ftekuejf0ryxvd5h2my47r,VVV Venlo
vgupememz87beb89669u7si0,Cork City
ak48fkypnql8y4n69cvcq5ghc,Argentina
eqi93j51n7mhyon0hzb4kxsdg,Bolivia
ajab3nmpoltsoeqcuoyi4pwzx,Brazil
4etj58jfe5zmfspk9pl7jfzr3,Chile
7km4szeh6fs5bbdgypshh0snd,Colombia
2j2402oabiovxw24cnjk9m369,Ecuador
3cwjdmekfdouwg990mqdq9fh0,Paraguay
a9sendamrqqz1uv4jc89mfum8,Peru
9l06impjllgop0gte8fldb4zo,Uruguay
2pguid8qwn158n8a58waenbbq,Venezuela
9dntj5dioj5ex52yrgwzxrq9l,AC Milan
67z1gqyiuzpmmb15q5fy7ntc4,Monza
4raiad4l2j5lkfaz92pk4osb,Fiorentina
2tk2l9sgktwc9jhzqdd4mpdtb,Roma
e75syeuawg3ql8nwpi3vr2btz,Atalanta
ej5er0oyngdw138yuumwqbyqt,Bologna
5rwlg5cfv1hu7yf0ek1zxpzy3,Cagliari
6uzfw7ahyxg4wrrfxo5u7qt0n,Como
8le3orkfz6iix3jns6g9ojqjg,Empoli
3vo5mpj7catp66nrwwqiuhuup,Inter Milan
4kumqzwifv478caxed8zywlh3,Genoa
ap6blbxhq9elm62vw6tutzlwg,Verona
bqbbqm98ud8obe45ds9ohgyrd,Juventus
5aosfavi55p40c65lkriqnqnl,Parma
btcy9nra9ak4m22ovr2ia6m5v,Lazio
gi0l1habji5hpgar77dl5jqe,Napoli
7gnly6999wao1xarwct4p8fe9,Torino
bi1fxjrncd0ram0oi7ja1jyuo,Lecce
dxq76zcvnokq07cszdx0i6kve,Udinese
565sm63rjm2y7xeae0dcdbtnu,Venezia
49rkyo4do8uwj06geomw0xr4i,Salernitana
5khizzei8z0qbb7exz622wxw3,Frosinone
6tuibxq39fdryu8ou06wcm0q3,Sassuolo
bfztlrr6176xsdt2bmp0u1d2d,Pisa
af91jdcs6x0bqkmdb78rokod2,Cremonese
4klvxyeh3xcus4ongu7c00mgc,Spezia
4plikfte18rv8v4l89z803d4y,Sampdoria
7sck2yj98lv9ogljofza0c7f9,Wimbledon
5qwskbjpa17fvmtuu5qijy7cz,Accrington
2h0f9b45mwop10akb6bp7qx3,Barrow
2b5k2yusdx2ctd5cdv739p3il,Bradford City
b6fvcpudsv2xhd8jd9ste749x,Bromley
4wqa3vdd3owvzbdpmh91uvvhp,Carlisle
fvr504m6gaxsfmtx4fwm7iq1,Cheltenham
2zyk4fq2f0kh5p366q9y62vny,Chesterfield
crpd0wug26fg7skfzmf11x1k2,Colchester
9ze1c55gavzeg6vw37ca1banb,Crewe Alexandra
6dryhu9wer42nt1dxoophpk96,Doncaster Rovers
8rfydplrc9ki0sirqi0drcybk,Fleetwood
2597fv0oiboak9jyryf3gt39g,Gillingham
6ipyteigr21t78l6fro3ig10j,Grimsby
bkzx43uwodxey51ivfvbqf37g,Harrogate
8w89tsles26jm12aoelwvlttt,MK Dons
8xeuwzxnm7hdlbjjuezgfkz3w,Morecambe
bewbbriuwh3i7a2zn19e6d0v4,Newport County
d3mskb8nk3afyi3tn0gt8kwh8,Notts County
ejm092fnt9zoxbpuklzd52ji8,Port Vale
2dakjegmrc2cxx2hqq5wzegt,Salford City
9ws3x82yqn7svjq6onvtunpst,Swindon
9j48z9ohucqbzpneoghrgwevs,Tranmere
1tev1lioyfaxbk2uod5uekzyj,Walsall
d0zdg647gvgc95xdtk1vpbkys,Ajax
3kfktv64h7kg7zryax1wktr5r,AZ Alkmaar
1fttb31hnskynpku8qd09yhm8,Almere City
cos9hxi16eitbcbthof7zrm4m,FC Groningen
4tic29sox7m39fy1ztgv0jsiq,FC Twente
ccpscwdcm65czscrun048ecn5,Utrecht
20vymiy7bo8wkyxai3ew494fz,Feyenoord
3ebril33e08ddzob4bhq8awsr,Fortuna Sittard
b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles
dac758ef858jbq7pcb3gfwite,Heracles
59t7flioj4w4mpwnrwbm0m8ck,NAC Breda
8iawijq7s9s6d85mjz8wdslki,NEC
2uuh2bir8ktof0uxfo06lb4ox,Pec Zwolle
24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven
ed5nwjz5za3oyi20nxzgqivmx,RKC Waalwijk
4vd2t5schmvvufrfib7f2vjdf,Heerenveen
89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam
bk5ltsueqmeng29eovd8m2tml,Willem II
4t4hod56fsj7utpjdor8so5q6,AS Monaco
2sc9xfhu6tbru9hhlhr4a89zn,Saint-Etienne
75qj99fhg5c0ztj2tva5u4uii,Angers
9bxav814mkuhueiyivyive82d,AJ Auxerre
750ustvk4jfqmo8q4gnrcxy7z,Nantes
23pqcgxu1tip265hbe01kszbt,Le Havre
be2k34rut1lz79jxenabttqlc,Lille
2cjpmotqo8phcqfpgo9xf4gel,Montpellier
bx0cdmzr2gwr70ez72dorx82p,Nice
27xvwccz8kpmqsefjv2b2sc0o,Marseille
2b3mar72yy8d6uvat1ka6tn3r,PSG
71ajatxnuhc5cnm3xvgdky49w,Strasbourg
3xedluek08t2ka7oypwuullcn,Lens
3adj8hkws0z1al232bg2h6tk0,Brest
z1wbqtd0fz5t5eezjvrbld3h,Rennes
3c3jcs7vc1t6vz5lev162jyv7,Reims
4aghw9tyi8ba3ju1ne83gmf9w,Toulouse
121le8unjfzug3iu9pgkqa1c7,Lyon
70nn27vgkt6l48lvv5e66q7ww,Lorient
2khen2a38l2hkx33s73pehl6o,Metz
8v00fx2zwhiwm05tqqkt122p5,Paris FC
17o35s8assv3kamxowzz77k4r,Clermont
6xjy1q2m55iiwe8g1r1yffbc9,Ajaccio
3unkqo2g6ag99gd5ynz1j7vse,Troyes
3xcg7xikgrn2x8oa65sopb2is,Heidenheim
a8d2gb2nag8fy0itbuxmcibh2,Union Berlin
1c7qokc1j5z50cjj4tcu32haa,Mainz
dt4pinj0vw0t0cvz7za6mhmzy,Dortmund
7ad69ngbpjuyzv96drf8d9sn2,Leverkusen
go76xxm0xyfgqt1h6tcrtimm,Monchengladbach
c5hderjlkcoaze51e5wgvptk,Eintracht Frankfurt
ex3psl8e3ajeypwjy4xfltpx6,Augsburg
apoawtpvac4zqlancmvw4nk4o,Bayern Munich
85jtaw5dcxxx1yp8te6axh3p8,FC St. Pauli
6zwg0wxjie31da2i4wwh2h4ho,Holstein Kiel
9gefq4dz9b2hl8rqrxwrlrzmp,RB Leipzig
6k5zscdm9ufw0tguvzyjlp5hq,Freiburg
cu0eztmjcsbydyp53aleznorw,Werder Bremen
4l9mrqzmajz5crzlz50mtbt6x,Hoffenheim
3dwlvz6cl4lcavvrg0y2dycrt,Stuttgart
eq1oq6y61xnzq88zu0cnw131z,Bochum
a8l3w3n0j99qjlsxj3jnmgkz1,Wolfsburg
75xi6hloabmnjn2kzgj1g8h1s,Hamburg
8q1ul09cygzswb7tb456bmifv,FC Koln
1y7e48j8swyafegsucvewse5a,Darmstadt
cz4a6wmzx2obyisadhgaccx7b,FC Schalke
f0w62l8zql3tukxsy8fqwp72x,Hertha Berlin
36g6ifzjliec1jqnbtf7yesme,Aalborg
5rz9enoyknpg8ji78za5b82p0,Aarhus
9qsmopgutr7ut5g6workk8w4i,Brondby
b3r6d8ydtmtjckam6pku9y400,Kobenhaven
59as3grjvj19voay31j3yfgni,Midtjylland
77tfx9me4aaqhzv78bmgsy9bg,Nordsjaelland
anga7587r1zv4ey71ge9zxol3,Lyngby
9w3sjm5ml4sjr2v81oxzdrt8v,Randers
ahnt9ejgwj58ul8auzdvi3czf,Silkeborg
aljua8crr0vkwit0j3m59jw9j,Sondersjysk
c165yjiny1qnmfdvefxvflnkc,Vejle
cftj6g399tknheudaxsdpfdgb,Viborg
6wwwud48qahpwrfxs20334qk5,FC Fredericia
dbl7ir1qugqz8nvp1vzn8im50,Odense
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre
a9vw7ikerpr4cuweeeka5aneg,Horsens
3ix9om1svhd6obl0mbk1otgop,Cercle Brugge
1oyb7oym5nwzny8vxf03szd2h,Club Brugge
4dtif7outbuivua8umbwegoo5,FCV Dender
8y3iucyxguipljcmf87a11bk9,Gent
89xivtxk59uzvhdsd6miao6tm,Genk
1uk609mhtsfhokhaewjapb26,KV Kortrijk
b7jmo07lqav0wfe2mtlzyspak,KV Mechelen
2nhn3ikl1ciq34w3hcp883d6p,Westerlo
cyrrlv6l1onld5x247w1q1jlr,Beerschot
bw9wm8pqfzcchumhiwdt2w15c,OH Leuven
6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht
7zibyotq1x1hq6pmgibhr0e6s,Antwerp
920raeoumft3q2wmvc296uceo,Charleroi
5z1b7fuvpqe6vnigvopomvecu,Standard Liege
ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise
2989v3kho9h5jaboe1nr7lx21,Sint-Truidense
9njsy633rh1tyri7l2jaju5o,KAS Eupen
2b57rbw94i9ohnbch52owvqtq,Oostende
jb4xejoxjfk5a0a50bo8hvst,RFC Seraing
547zzwqbiugzphhnrhj3z5k5i,Zulte Waregem
4kzh86nfubfwsjzerl9pz73kl,RWD Molenbeek
75b9wl3zixoytzcmvwavlp46i,La Louviere
3czravw89omgc9o4s0w3l1bg5,Athletic Bilbao
2l0ldgiwsgb8d6y3z0sfgjzyj,Osasuna
3krm0f4yr1l80j1sd7823f9xn,Leganes
